sampling_method,num_examples,accuracy_error,merge
irt,15,0.1947182208743996,ninja_meta_linear
anchor,15,0.25612838008592365,ninja_meta_linear
random,15,0.07558756633813501,ninja_meta_linear
irt,15,0.31905483952489244,ninja_meta_linear
anchor,15,0.1325499115491534,ninja_meta_linear
random,15,0.07558756633813501,ninja_meta_linear
irt,15,0.09464240586302741,ninja_meta_linear
anchor,15,0.3251200404346727,ninja_meta_linear
random,15,0.05774576699519829,ninja_meta_linear
irt,15,0.3417993429365678,ninja_meta_linear
anchor,15,0.31905483952489266,ninja_meta_linear
random,15,0.008920899671468363,ninja_meta_linear
irt,15,0.24475612838008565,ninja_meta_linear
anchor,15,0.23944907758402822,ninja_meta_linear
random,20,0.20892089967146832,ninja_meta_linear
irt,20,0.16211776598433159,ninja_meta_linear
anchor,20,0.22049532474096534,ninja_meta_linear
random,20,0.09107910032853161,ninja_meta_linear
irt,20,0.12951731109426323,ninja_meta_linear
anchor,20,0.13709881223148845,ninja_meta_linear
random,20,0.09107910032853161,ninja_meta_linear
irt,20,0.15605256507455134,ninja_meta_linear
anchor,20,0.07644680313368701,ninja_meta_linear
random,20,0.09107910032853161,ninja_meta_linear
irt,20,0.2864543846348242,ninja_meta_linear
anchor,20,0.048395248925953926,ninja_meta_linear
random,20,0.1910791003285317,ninja_meta_linear
irt,20,0.2796310336113216,ninja_meta_linear
anchor,20,0.026408895628000972,ninja_meta_linear
random,20,0.058920899671468296,ninja_meta_linear
irt,20,0.28038918372504407,ninja_meta_linear
anchor,20,0.18941117007834207,ninja_meta_linear
random,20,0.058920899671468296,ninja_meta_linear
irt,20,0.3061662875916097,ninja_meta_linear
anchor,20,0.22049532474096534,ninja_meta_linear
random,20,0.058920899671468296,ninja_meta_linear
irt,20,0.2038160222390697,ninja_meta_linear
anchor,20,0.21139752337629514,ninja_meta_linear
random,20,0.04107910032853168,ninja_meta_linear
irt,20,0.27432398281526393,ninja_meta_linear
anchor,20,0.06734900176901693,ninja_meta_linear
random,20,0.058920899671468296,ninja_meta_linear
irt,20,0.30010108668182944,ninja_meta_linear
anchor,20,0.12496841041192808,ninja_meta_linear
random,30,0.04225423300480169,ninja_meta_linear
irt,30,0.26295173110942627,ninja_meta_linear
anchor,30,0.1234521101844831,ninja_meta_linear
random,30,0.09107910032853161,ninja_meta_linear
irt,30,0.15681071518827372,ninja_meta_linear
anchor,30,0.12193580995703801,ninja_meta_linear
random,30,0.09107910032853161,ninja_meta_linear
irt,30,0.21746272428607516,ninja_meta_linear
anchor,30,0.17803891837250452,ninja_meta_linear
random,30,0.024412433661864963,ninja_meta_linear
irt,30,0.16211776598433136,ninja_meta_linear
anchor,30,0.08933535506696999,ninja_meta_linear
random,30,0.12441243366186494,ninja_meta_linear
irt,30,0.06583270154157195,ninja_meta_linear
anchor,30,0.23565832701541578,ninja_meta_linear
random,30,0.024412433661864963,ninja_meta_linear
irt,30,0.15529441496082874,ninja_meta_linear
anchor,30,0.06355825120040426,ninja_meta_linear
random,30,0.024412433661864963,ninja_meta_linear
irt,30,0.21291382360374023,ninja_meta_linear
anchor,30,0.11511245893353539,ninja_meta_linear
random,30,0.008920899671468363,ninja_meta_linear
irt,30,0.13785696234521094,ninja_meta_linear
anchor,30,0.07417235279251944,ninja_meta_linear
random,30,0.12441243366186494,ninja_meta_linear
irt,30,0.11283800859236792,ninja_meta_linear
anchor,30,0.025145312105130158,ninja_meta_linear
random,30,0.008920899671468363,ninja_meta_linear
irt,30,0.18258781905483934,ninja_meta_linear
anchor,30,0.11056355825120034,ninja_meta_linear
random,50,0.008920899671468363,ninja_meta_linear
irt,50,0.22807682587819045,ninja_meta_linear
anchor,50,0.042330048016173794,ninja_meta_linear
random,50,0.031079100328531672,ninja_meta_linear
irt,50,0.12345211018448321,ninja_meta_linear
anchor,50,0.11132170836492283,ninja_meta_linear
random,50,0.05107910032853169,ninja_meta_linear
irt,50,0.09767500631791748,ninja_meta_linear
anchor,50,0.1242102602982057,ninja_meta_linear
random,50,0.09107910032853161,ninja_meta_linear
irt,50,0.18941117007834207,ninja_meta_linear
anchor,50,0.044099064948193156,ninja_meta_linear
random,50,0.05107910032853169,ninja_meta_linear
irt,50,0.13861511245893343,ninja_meta_linear
anchor,50,0.1431640131412687,ninja_meta_linear
random,50,0.09107910032853161,ninja_meta_linear
irt,50,0.1135961587060903,ninja_meta_linear
anchor,50,0.06355825120040426,ninja_meta_linear
random,50,0.02892089967146838,ninja_meta_linear
irt,50,0.1317917614354307,ninja_meta_linear
anchor,50,0.021354561536517602,ninja_meta_linear
random,50,0.008920899671468363,ninja_meta_linear
irt,50,0.1310336113217082,ninja_meta_linear
anchor,50,0.134824361890321,ninja_meta_linear
random,50,0.13107910032853165,ninja_meta_linear
irt,50,0.09919130654536268,ninja_meta_linear
anchor,50,0.09919130654536268,ninja_meta_linear
random,50,0.05107910032853169,ninja_meta_linear
irt,50,0.08857720495324728,ninja_meta_linear
anchor,50,0.059767500631791814,ninja_meta_linear
random,100,0.021079100328531664,ninja_meta_linear
irt,100,0.0946424058630273,ninja_meta_linear
anchor,100,0.06583270154157184,ninja_meta_linear
random,100,0.021079100328531664,ninja_meta_linear
irt,100,0.040055597675006105,ninja_meta_linear
anchor,100,0.021859994945665928,ninja_meta_linear
random,100,0.04107910032853168,ninja_meta_linear
irt,100,0.06583270154157184,ninja_meta_linear
anchor,100,0.07644680313368701,ninja_meta_linear
random,100,0.14107910032853166,ninja_meta_linear
irt,100,0.05142784938084377,ninja_meta_linear
anchor,100,0.11587060904725799,ninja_meta_linear
random,100,0.011079100328531655,ninja_meta_linear
irt,100,0.048395248925953815,ninja_meta_linear
anchor,100,0.02034369471822095,ninja_meta_linear
random,100,0.07107910032853171,ninja_meta_linear
irt,100,0.11738690927470274,ninja_meta_linear
anchor,100,0.0008845084660094038,ninja_meta_linear
random,100,0.05107910032853169,ninja_meta_linear
irt,100,0.0954005559767499,ninja_meta_linear
anchor,100,0.18031336871367198,ninja_meta_linear
random,100,0.04107910032853168,ninja_meta_linear
irt,100,0.08857720495324728,ninja_meta_linear
anchor,100,0.04384634824361877,ninja_meta_linear
random,100,0.12107910032853164,ninja_meta_linear
irt,100,0.1401314126863783,ninja_meta_linear
anchor,100,0.08327015415718975,ninja_meta_linear
random,100,0.09107910032853161,ninja_meta_linear
irt,100,0.10904725802375526,ninja_meta_linear
anchor,100,0.13027546120798583,ninja_meta_linear
random,10,0.20892089967146832,wizard_meta_slerp
irt,10,0.17955521859994938,wizard_meta_slerp
anchor,10,0.171468284053576,wizard_meta_slerp
random,10,0.2910791003285317,wizard_meta_slerp
irt,10,0.2045741723527923,wizard_meta_slerp
anchor,10,0.3236037402072277,wizard_meta_slerp
random,10,0.1910791003285317,wizard_meta_slerp
irt,10,0.20154157189790234,wizard_meta_slerp
anchor,10,0.058503917108921,wizard_meta_slerp
random,10,0.1910791003285317,wizard_meta_slerp
irt,10,0.047637098812231216,wizard_meta_slerp
anchor,10,0.04460449835734137,wizard_meta_slerp
random,10,0.39107910032853166,wizard_meta_slerp
irt,10,0.07417235279251944,wizard_meta_slerp
anchor,10,0.2242860753095779,wizard_meta_slerp
random,10,0.008920899671468363,wizard_meta_slerp
irt,10,0.1234521101844831,wizard_meta_slerp
