sampling_method,num_examples,accuracy_error,language
anchor,30,0.1768385140257771,german
random,30,0.09379580490270412,german
irt,30,0.047573919636087925,german
anchor,30,0.15409401061410166,german
random,30,0.03953752843062919,german
irt,30,0.05401819560272936,german
anchor,30,0.09571645185746791,german
random,30,0.22712913823603742,german
irt,30,0.020280515542077326,german
anchor,30,0.01838514025777105,german
random,30,0.12712913823603744,german
irt,30,0.06690674753601222,german
anchor,30,0.08510235026535251,german
random,50,0.10046247156937083,german
irt,50,0.1510614101592116,german
anchor,50,0.06539044730856713,german
random,50,0.12046247156937084,german
irt,50,0.10102350265352544,german
anchor,50,0.09344200151630033,german
random,50,0.04046247156937077,german
irt,50,0.07600454890068231,german
anchor,50,0.022175890826383715,german
random,50,0.12046247156937084,german
irt,50,0.08965125094768778,german
anchor,50,0.11770280515542086,german
random,50,0.02046247156937081,german
irt,50,0.2314253222137983,german
anchor,50,0.06539044730856713,german
random,50,0.06046247156937079,german
irt,50,0.006254738438210838,german
anchor,50,0.07221379833206976,german
random,50,0.02046247156937081,german
irt,50,0.07979529946929498,german
anchor,50,0.06918119787717969,german
random,50,0.04046247156937077,german
irt,50,0.11694465504169826,german
anchor,50,0.1419636087945414,german
random,50,0.22046247156937082,german
irt,50,0.04150871872630779,german
anchor,50,0.09723275208491289,german
random,50,0.12046247156937084,german
irt,50,0.05742987111448067,german
anchor,50,0.18517816527672493,german
random,100,0.08046247156937081,german
irt,100,0.1412054586808188,german
anchor,100,0.08586050037907511,german
random,100,0.12046247156937084,german
irt,100,0.03127369219105375,german
anchor,100,0.056292645943896935,german
random,100,0.11046247156937083,german
irt,100,0.024450341167551126,german
anchor,100,0.0964746019711904,german
random,100,0.15046247156937076,german
irt,100,0.13362395754359357,german
anchor,100,0.05932524639878706,german
random,100,0.05046247156937078,german
irt,100,0.059325246398786946,german
anchor,100,0.10633055344958309,german
random,100,0.02046247156937081,german
irt,100,0.0494692949203942,german
anchor,100,0.09116755117513275,german
random,100,0.09046247156937082,german
irt,100,0.1578847611827141,german
anchor,100,0.020659590598938737,german
random,100,0.09046247156937082,german
irt,100,0.085860500379075,german
anchor,100,0.16698256254738442,german
random,100,0.10046247156937083,german
irt,100,0.06993934799090207,german
anchor,100,0.06539044730856713,german
random,100,0.14046247156937075,german
irt,100,0.09116755117513275,german
anchor,100,0.040371493555724114,german
random,10,0.33953752843062923,romanian
irt,10,0.38722517058377554,romanian
anchor,10,0.27047005307050787,romanian
random,10,0.03953752843062919,romanian
irt,10,0.015731614859742282,romanian
