lang,n_samples,accuracy,estimate_method,iter,diff
dutch,20,0.48714468590275367,pirt,7,0.11186037961010775
dutch,20,0.37597843777078765,pirt,3,0.0006941314781417351
dutch,20,0.3686525832176034,pirt,8,0.006631723075042506
dutch,20,0.41035215792490604,pirt,2,0.035067851632260116
dutch,20,0.2548126900380774,pirt,9,0.12047161625456854
dutch,30,0.5116136049055751,pirt,0,0.13632929861292914
dutch,20,0.4624342058907625,pirt,1,0.08714989959811659
dutch,30,0.2682906358864536,pirt,1,0.10699367040619234
dutch,20,0.5681943423747832,pirt,0,0.19291003608213725
dutch,100,0.43304588235565,pirt,5,0.05776157606300408
dutch,30,0.5652142565662611,pirt,2,0.1899299502736152
dutch,30,0.44612584404155364,pirt,3,0.07084153774890772
dutch,30,0.4857833720053511,pirt,4,0.11049906571270518
dutch,15,0.7319305623412005,pirt,8,0.35664625604855454
dutch,30,0.34513477199174225,pirt,5,0.03014953430090367
dutch,15,0.39727957312640894,pirt,7,0.021995266833763016
dutch,30,0.5132841658455872,pirt,6,0.1379998595529413
dutch,15,0.38130605200352335,pirt,6,0.006021745710877435
dutch,30,0.34857486934733434,pirt,7,0.026709436945311582
dutch,30,0.48110188294726847,pirt,8,0.10581757665462255
dutch,15,0.461420120900861,pirt,5,0.08613581460821507
dutch,30,0.6025447293682522,pirt,9,0.2272604230756063
dutch,15,0.5285825850520484,pirt,9,0.15329827875940244
dutch,10,0.16712113651516267,pirt,2,0.20816316977748325
dutch,100,0.29451388607532597,pirt,6,0.08077042021731995
dutch,10,0.45667150929439304,pirt,1,0.08138720300174712
spanish,15,0.6382890755831307,pirt,3,0.09242099370291845
spanish,15,0.39726649345606035,pirt,4,0.14860158842415194
italian,50,0.3981370055540024,pirt,8,0.06812531438534558
spanish,15,0.6804148635960879,pirt,5,0.13454678171587564
italian,50,0.499324870901136,pirt,7,0.033062550961788006
spanish,15,0.637747813854788,pirt,6,0.09187973197457566
italian,50,0.37506100865513065,pirt,6,0.09120131128421732
spanish,15,0.5132525587904125,pirt,7,0.03261552308979976
spanish,15,0.3394010937241169,pirt,8,0.20646698815609538
italian,50,0.517332198602888,pirt,5,0.05106987866354007
spanish,15,0.5443267156732214,pirt,9,0.0015413662069908574
italian,50,0.45935180702062806,pirt,9,0.006910512918719913
italian,50,0.29380676228679553,pirt,4,0.17245555765255244
italian,50,0.3413524701166352,pirt,3,0.12490984982271275
spanish,20,0.451107069786403,pirt,1,0.09476101209380927
spanish,20,0.41974373194878967,pirt,2,0.12612434993142263
italian,50,0.39377830370299477,pirt,2,0.0724840162363532
spanish,20,0.5827788153340719,pirt,3,0.036910733453859645
italian,50,0.3454882496387669,pirt,1,0.12077407030058107
spanish,20,0.357621768706637,pirt,4,0.18824631317357532
italian,50,0.3932685634542065,pirt,0,0.07299375648514145
spanish,20,0.49699972825327166,pirt,5,0.04886835362694064
spanish,20,0.607230182814707,pirt,6,0.06136210093449468
italian,30,0.5025124055562196,pirt,9,0.0362500856168716
spanish,20,0.47712267224609956,pirt,0,0.06874540963411274
italian,30,0.3320370034109929,pirt,8,0.13422531652835507
spanish,15,0.486702912384614,pirt,2,0.0591651694955983
spanish,15,0.5276380354205948,pirt,1,0.018230046459617455
dutch,100,0.37485819478849014,pirt,7,0.0004261115041557795
dutch,100,0.3273121796411148,pirt,8,0.04797212665153111
dutch,10,0.10866439124130796,pirt,0,0.266619915051338
dutch,100,0.3611573846335304,pirt,9,0.014126921659115499
italian,100,0.39250557283401943,pirt,9,0.07375674710532854
spanish,10,0.38594196636197475,pirt,0,0.15992611551823754
italian,100,0.42036692372970635,pirt,8,0.045895396209641615
spanish,10,0.26312600720448504,pirt,1,0.28274207467572726
spanish,10,0.05872834865010802,pirt,2,0.4871397332301043
italian,100,0.3731813580410162,pirt,7,0.09308096189833176
spanish,10,0.45806225086237606,pirt,3,0.08780583101783623
italian,100,0.3025010234295487,pirt,0,0.16376129650979926
italian,100,0.5251936821872805,pirt,6,0.058931362247932495
romanian,100,0.32755327068997747,pirt,9,0.05607068685361616
italian,100,0.41267551796889423,pirt,5,0.053586801970453735
spanish,10,0.31159187105584174,pirt,5,0.23427621082437056
spanish,10,0.39847123750601937,pirt,6,0.14739684437419293
italian,100,0.45931677177505453,pirt,4,0.006945548164293436
italian,100,0.3262767670638361,pirt,3,0.13998555287551184
spanish,10,0.36100812864696813,pirt,8,0.18485995323324417
italian,100,0.4219809320372957,pirt,2,0.04428138790205227
spanish,10,0.4457905488496776,pirt,9,0.10007753303053468
spanish,15,0.45563628086012653,pirt,0,0.09023180102008577
italian,100,0.4683976337590387,pirt,1,0.0021353138196907318
spanish,10,0.4038620897203598,pirt,4,0.1420059921598525
spanish,50,0.5685148219218249,pirt,7,0.0226467400416126
italian,15,0.5683743511808605,pirt,7,0.10211203124151258
italian,20,0.4576923270624954,pirt,3,0.008569992876852561
romanian,30,0.35971192500147386,pirt,3,0.023912032542119765
german,20,0.5392462595595162,pirt,6,0.1556223020159226
german,20,0.2533174598259454,pirt,7,0.13030649771764824
romanian,30,0.13594282076062095,pirt,2,0.24768113678297268
german,20,0.3201551783265071,pirt,8,0.06346877921708655
german,20,0.42813309250415993,pirt,9,0.0445091349605663
romanian,30,0.38149992715473197,pirt,1,0.002124030388861664
german,30,0.3496660575522202,pirt,0,0.03395789999137344
german,30,0.48348902831647195,pirt,1,0.09986507077287832
romanian,30,0.3157344754793371,pirt,0,0.06788948206425655
german,30,0.24945104277238148,pirt,2,0.13417291477121215
romanian,20,0.5049366631527699,pirt,9,0.12131270560917623
german,30,0.4943046078014112,pirt,3,0.11068065025781759
german,30,0.2802445896430278,pirt,4,0.10337936790056584
romanian,20,0.2830904676499936,pirt,8,0.1005334898936
german,30,0.5343394073954558,pirt,5,0.1507154498518622
german,30,0.46105571103303217,pirt,6,0.07743175348943854
romanian,20,0.166510361874067,pirt,7,0.21711359566952662
german,30,0.32793870415489035,pirt,7,0.05568525338870328
german,20,0.525575523497649,pirt,5,0.1419515659540554
romanian,20,0.3919954944839556,pirt,6,0.008371536940361968
romanian,30,0.3877748522330064,pirt,4,0.004150894689412765
german,20,0.3029116375466981,pirt,3,0.08071231999689554
italian,10,0.21251100286676614,pirt,3,0.2537513170725818
romanian,50,0.43582457530518043,pirt,0,0.0522006177615868
german,15,0.3509873001415113,pirt,5,0.032636657402082325
italian,10,0.5684254391567822,pirt,2,0.10216311921743426
german,15,0.10750437507247723,pirt,6,0.2761195824711164
romanian,30,0.340836507372537,pirt,9,0.04278745017105662
italian,10,0.6541635010132505,pirt,1,0.18790118107390252
german,15,0.17313197756636892,pirt,7,0.2104919799772247
romanian,30,0.40852865466314103,pirt,8,0.024904697119547403
