merge,n_samples,accuracy,estimate_method,iter,diff
arithmo_meta_slerp,10,0.9715217385867074,gpirt,9,0.25886063168754136
arithmo_meta_slerp,15,0.7279527622167357,mpirt,0,0.015291655317569597
arithmo_meta_slerp,15,0.8824867399999999,rc,0,0.16982563310083387
arithmo_meta_slerp,15,0.8052197511083679,gmpirt,0,0.09255864420920179
arithmo_meta_slerp,15,0.8824867399999999,irt,0,0.16982563310083387
arithmo_meta_slerp,15,0.8463659160979973,pirt,0,0.1337048091988312
arithmo_meta_slerp,15,0.8644263280489985,gpirt,0,0.15176522114983249
arithmo_meta_slerp,15,0.600035898333861,mpirt,1,0.11262520856530511
arithmo_meta_slerp,15,0.65883245,rc,1,0.05382865689916605
arithmo_meta_slerp,15,0.6294341741669305,gmpirt,1,0.08322693273223558
arithmo_meta_slerp,15,0.65883245,irt,1,0.05382865689916605
arithmo_meta_slerp,15,0.5753336961669946,pirt,1,0.13732741073217147
arithmo_meta_slerp,15,0.6170830730834973,gpirt,1,0.09557803381566876
arithmo_meta_slerp,15,0.6421992912471005,mpirt,2,0.07046181565206555
arithmo_meta_slerp,15,0.7558756700000001,rc,2,0.04321456310083405
arithmo_meta_slerp,15,0.6990374806235503,gmpirt,2,0.013623626275615752
arithmo_meta_slerp,15,0.7558756700000001,irt,2,0.04321456310083405
arithmo_meta_slerp,15,0.5112700198441048,pirt,2,0.20139108705506126
arithmo_meta_slerp,15,0.6335728449220525,gpirt,2,0.0790882619771136
arithmo_meta_slerp,15,0.7109388003109381,mpirt,3,0.0017223065882279176
arithmo_meta_slerp,15,0.7429871100000002,rc,3,0.03032600310083411
