lang,n_samples,accuracy,estimate_method,iter,diff
dutch,30,0.4461258440415536,p-IRT,3,0.0708415377489077
romanian,30,0.3597119250014738,p-IRT,3,0.0239120325421197
italian,20,0.4576923270624954,p-IRT,3,0.0085699928768525
italian,15,0.5683743511808605,p-IRT,7,0.1021120312415125
spanish,50,0.5685148219218249,p-IRT,7,0.0226467400416126
spanish,10,0.4038620897203598,p-IRT,4,0.1420059921598525
italian,100,0.4683976337590387,p-IRT,1,0.0021353138196907
spanish,15,0.4556362808601265,p-IRT,0,0.0902318010200857
spanish,10,0.4457905488496776,p-IRT,9,0.1000775330305346
italian,100,0.4219809320372957,p-IRT,2,0.0442813879020522
spanish,10,0.3610081286469681,p-IRT,8,0.1848599532332441
italian,100,0.3262767670638361,p-IRT,3,0.1399855528755118
italian,100,0.4593167717750545,p-IRT,4,0.0069455481642934
spanish,10,0.3984712375060193,p-IRT,6,0.1473968443741929
spanish,10,0.3115918710558417,p-IRT,5,0.2342762108243705
romanian,100,0.3275532706899774,p-IRT,9,0.0560706868536161
spanish,20,0.4969997282532716,p-IRT,5,0.0488683536269406
spanish,10,0.458062250862376,p-IRT,3,0.0878058310178362
dutch,30,0.4857833720053511,p-IRT,4,0.1104990657127051
spanish,15,0.3972664934560603,p-IRT,4,0.1486015884241519
spanish,15,0.6382890755831307,p-IRT,3,0.0924209937029184
dutch,10,0.456671509294393,p-IRT,1,0.0813872030017471
dutch,100,0.2945138860753259,p-IRT,6,0.0807704202173199
dutch,10,0.1671211365151626,p-IRT,2,0.2081631697774832
dutch,30,0.6025447293682522,p-IRT,9,0.2272604230756063
dutch,15,0.461420120900861,p-IRT,5,0.086135814608215
dutch,30,0.4811018829472684,p-IRT,8,0.1058175766546225
dutch,30,0.3485748693473343,p-IRT,7,0.0267094369453115
dutch,15,0.3813060520035233,p-IRT,6,0.0060217457108774
dutch,30,0.5132841658455872,p-IRT,6,0.1379998595529413
dutch,15,0.3972795731264089,p-IRT,7,0.021995266833763
dutch,30,0.3451347719917422,p-IRT,5,0.0301495343009036
dutch,15,0.7319305623412005,p-IRT,8,0.3566462560485545
italian,50,0.3932685634542065,p-IRT,0,0.0729937564851414
italian,50,0.3981370055540024,p-IRT,8,0.0681253143853455
spanish,15,0.6804148635960879,p-IRT,5,0.1345467817158756
dutch,15,0.5285825850520484,p-IRT,9,0.1532982787594024
spanish,20,0.357621768706637,p-IRT,4,0.1882463131735753
italian,50,0.499324870901136,p-IRT,7,0.033062550961788
italian,50,0.3454882496387669,p-IRT,1,0.120774070300581
spanish,20,0.5827788153340719,p-IRT,3,0.0369107334538596
italian,50,0.3937783037029947,p-IRT,2,0.0724840162363532
spanish,20,0.4197437319487896,p-IRT,2,0.1261243499314226
italian,50,0.3413524701166352,p-IRT,3,0.1249098498227127
italian,50,0.2938067622867955,p-IRT,4,0.1724555576525524
spanish,20,0.451107069786403,p-IRT,1,0.0947610120938092
spanish,15,0.5443267156732214,p-IRT,9,0.0015413662069908
italian,50,0.517332198602888,p-IRT,5,0.05106987866354
spanish,15,0.3394010937241169,p-IRT,8,0.2064669881560953
spanish,15,0.5132525587904125,p-IRT,7,0.0326155230897997
italian,50,0.3750610086551306,p-IRT,6,0.0912013112842173
spanish,15,0.637747813854788,p-IRT,6,0.0918797319745756
italian,50,0.459351807020628,p-IRT,9,0.0069105129187199
romanian,30,0.3818288275333664,mp-IRT,6,0.0017951300102271
dutch,50,0.2974439985154802,mp-IRT,8,0.0778403077771657
romanian,15,0.3107051993685562,mp-IRT,8,0.0729187581750374
romanian,20,0.2754176066942854,mp-IRT,3,0.1082063508493081
romanian,20,0.3120855130739789,mp-IRT,2,0.0715384444696146
dutch,10,0.3026175118293758,mp-IRT,9,0.0726667944632701
romanian,20,0.3751859038273888,mp-IRT,1,0.0084380537162047
dutch,10,0.363633335358168,mp-IRT,7,0.0116509709344778
dutch,10,0.3183637010550701,mp-IRT,8,0.0569206052375757
dutch,50,0.4181574478815916,mp-IRT,9,0.0428731415889457
romanian,15,0.1927386947381117,mp-IRT,9,0.1908852628054819
dutch,100,0.4308900216562837,mp-IRT,0,0.0556057153636377
dutch,15,0.535623482829604,mp-IRT,0,0.1603391765369581
romanian,15,0.3137395707998254,mp-IRT,7,0.0698843867437681
romanian,30,0.397067954731268,mp-IRT,7,0.0134439971876743
romanian,20,0.2898556814890849,mp-IRT,0,0.0937682760545087
dutch,30,0.6025447897613002,mp-IRT,9,0.2272604834686543
dutch,20,0.4930716321948107,mp-IRT,7,0.1177873259021647
romanian,100,0.3802495030936357,mp-IRT,1,0.0033744544499578
dutch,100,0.460762415875823,mp-IRT,1,0.085478109583177
romanian,100,0.3858759130691765,mp-IRT,8,0.0022519555255828
romanian,100,0.2945242391586919,mp-IRT,7,0.0890997183849016
dutch,20,0.3768085374455834,mp-IRT,4,0.0015242311529375
dutch,20,0.3685768519540751,mp-IRT,8,0.0067074543385708
romanian,100,0.3886229304621439,mp-IRT,6,0.0049989729185502
dutch,20,0.3824122147559816,mp-IRT,3,0.0071279084633357
dutch,20,0.4855207599561635,mp-IRT,1,0.1102364536635176
dutch,20,0.3080555073630362,mp-IRT,9,0.0672287989296097
romanian,100,0.4295595734614276,mp-IRT,4,0.045935615917834
romanian,100,0.3476611036965265,mp-IRT,3,0.0359628538470671
dutch,30,0.5116136523925341,mp-IRT,0,0.1363293460998881
